word,word_en,tag,phrase_fr,phrase_en
sénateur,senator,nm, les honorables sénateurs ont été si généreux , the honorable senators were very generous 
dépasser,"to pass, go beyond",v, personne ne dépasse son potentiel , no one exceeds his potential 
affirmer,"to affirm, maintain, declare, allege",v, ce témoin a affirmé avoir vu trois hommes , this witness alleged to have seen three men 
soumettre,to submit,v," de retour chez eux, elle l'a soumis à un ultime test "," back at their place, she put him to the final test"
financier,"financial, financier",nadj, j'ai aussi travaillé dans le monde financier , I also worked in the financial sector 
processus,process,nm(pl), j'ai été renseigné à chaque étape du processus , I was kept informed at each stage of the process
militaire,military,nadj(f), la justice militaire me donne le droit à un avocat , the military code of justice grants me the right to an attorney
frais,"cool, fresh; fee, expense","adj(pl),nm(pl)", on me paie mes frais de déplacement , my travel expenses are being covered 
industrie,industry,nf, le tourisme est une industrie saisonnière , tourism is a seasonal industry 
apparaître,to appear,v, son nom apparaissait dans une autre liste , her name appeared on another list 
responsabilité,responsibility,nf, il porte la seule responsabilité , he alone is responsible 
réserver,"to reserve, keep",v, je veux ce que l'avenir me réserve , I want what the future is keeping from me 
porte,door,nf, veuillez fermer la porte derrière vous , please close the door after you 
victime,victim,nf, nos prières vont aux victimes , our prayers go out to the victims 
territoire,territory,nm, c'est eux autres qui occupent le territoire , they are the ones who are occupying the territory 
pauvre,poor,nadj(f)," vous êtes idiote, ma pauvre femme, comme toujours "," you're an idiot, my poor woman, as always"
taux,rate,nm(pl), les taux d'intérêt ont notablement haussé , interest rates have risen appreciably 
organiser,to organize,v, on pensait t'organiser une fête d'anniversaire , we were thinking of organizing a birthday party for you
posséder,"to possess, own, have",v, je possède les coupures de presse vous concernant , I have the press clippings about you 
matériel,"material, equipment",nadj, nous avons déjà du nouveau matériel en chantier , we already have new equipment on the construction site
cent,"one hundred, cent","det,nm", aucun des cinq cents voyageurs n'a été blessé , none of the five hundred travelers was injured 
constater,"to note, notice; to establish, certify",v, je constate de ce fait , I notice that fact 
prononcer,to pronounce,v, je ne devrais même pas prononcer ces mots , I should not even pronounce those words 
signe,sign,nm," cependant, il y a des signes encourageants ", yet there are encouraging signs 
blanc,white,"adj,nm", tu es donc noir à rayures blanches. dilemme résolu , so you are black with white stripes. dilemma resolved
origine,"origin, source",nf, la guérilla n'est pas à l'origine de la violence , the insurgency isn't the source of the violence 
vendre,to sell,v," non, vous ne pouvez pas vendre votre bétail "," no, you may not sell your livestock "
vite,"fast, quickly",adv, déployez les sentinelles ... vite! , dispatch the guards ... quick! 
langue,"language, tongue",nf, tu maîtrises bien la langue , you're mastering the language well 
dangereux,dangerous,adj(pl), ce type est dangereux , this guy is dangerous 
déplacer,"to move, displace",v, nous nous déplaçons librement entre les deux pays , we travel freely between the two countries
importance,importance,nf, cela n'a pas d'importance , that isn't important 
suffire,"to be sufficient, suffice",v," bon, ça suffit "," OK, that's enough "
espoir,hope,nm," hélas, ce n'était qu'un espoir "," alas, it was only a hope "
davantage,more,adv, nous sentons tous que nous devons travailler davantage , we sense that we must work more 
saisir,"to take hold of, grab",v, le reflet du miroir saisit son regard , the mirror's reflection captured her face 
énergie,energy,nf, l'énergie est le pivot de notre économie , energy is the lynchpin of our society 
réseau,network,nm, ce réseau peut me servir à établir des contacts , this network might help me establish contacts 
mourir,to die,v," ma foi, je meurs de faim "," goodness, I'm dying of hunger "
faible,weak,nadj(f), je devenais de plus en plus faible , I became progressively weaker 
employer,"to use, employ",v," vous en employez beaucoup, de ces intellos gonflants ", you sure employ a lot of these stuffy eggheads
possibilité,possibility,nf, il va avoir la possibilité d'influencer son passé , he will be able to influence his past 
spécial,special,adj, je fais rien de spécial , I'm not doing anything special 
accompagner,to accompany,v, que Dieu vous accompagne , may God be with you 
actuellement,"at present, at the moment",adv, je suis très seul actuellement , I'm very alone at the moment 
union,union,nf, cette définition devrait comprendre les unions homosexuelles et lesbiennes , this definition should include homosexual and lesbian unions
supposer,"to suppose, assume",v, je suppose qu'ils ont peur , I imagine they are afraid 
fournir,"to provide, supply",v, elle ne souhaitait fournir aucun effort , she didn't want to provide any efforts 
ceci,this,pro, tout ceci est votre création , this is all your creation 
exiger,"to require, demand",v, une vie publique exige de nombreux sacrifices , public life requires many sacrifices 
intervenir,to intervene,v, il doit intervenir sur le marché , he must intervene in the market 
fils,son,nm(pl), votre fils est en entraînement pour devenir soldat , your son is in training to become a soldier 
d'accord,"okay, alright",intj," je m'en occupe, d'accord? "," I'll take care of it, OK? "
discuter,"to discuss, debate; to question",v, personne ne discute ses ordres , nobody questions his orders 
différence,difference,nf, il y a une différence entre les pommes et les hommes , there's a difference between men and apples
protéger,to protect,v," je suis ici pour te protéger, pas les cookies "," I'm here to protect you, not the cookies "
abandonner,"to give up, abandon",v, la propriété semblait abandonnée , the property seemed abandoned 
avis,"opinion, mind",nm(pl), j'ai changé d'avis , I changed my mind 
battre,"to beat, hit",v, ne nous battons pas l'un contre l'autre , let's not fight against each other 
pire,"worse, worst",nadj(f), c'est le pire jour de ma vie! , it's the worst day of my life! 
adresser,to address,v, ces bourses s'adressent à des étudiants , these scholarships are intended for students 
préciser,"to state, specify, clarify",v, je préciserai seulement deux choses , I will only specify two things 
intervention,intervention; talk,nf, je suis favorable aux interventions extérieures , I'm in favor of outside intervention 
attirer,to attract,v, les attentats récents ont attiré trop d'attention , the recent attacks have attracted too much attention
demeurer,"to remain, live",v, les crimes économiques demeurent largement impunis , white-collar crimes remain largely unpunished
chiffre,"figure, number",nm, j'ignore si ce chiffre est exact , I don't know if this figure is exact 
consacrer,"to devote, consecrate",v, j'ai consacré beaucoup de temps à la recherche , I consecrated much time to research 
remplir,"to fill, fulfill",v," une voisine passerait, le panier rempli de poires "," a neighbor would walk by, her basket full of pears"
divers,"diverse, various","adj(pl),det", des formes très diverses surgissent sous vos yeux , widely varying patterns dance before your eyes
appliquer,to apply,v, il faut que la loi soit appliquée , the law must be applied 
frapper,"to hit, strike, knock",v, je n'ai pas frappé vraiment fort , I didn't knock very loudly 
peur,fear,nf," maman, j'ai peur! "," mommy, I'm afraid! "
parlement,parliament,nm, il faut élargir le rôle du Parlement européen , we need to enlarge the role of the European Parliament
fermer,"to close, shut",v, je vais fermer les yeux maintenant , I'm going to close my eyes now 
forcer,to force,v," on peut me forcer à venir, pas à parler "," I can be forced to come, not to speak "
lutte,"struggle, fight, conflict",nf, tu as mené une lutte acharnée , you fought an unrelenting battle 
naturel,natural,nadj, c'est un sentiment tout à fait naturel , it's a perfectly natural feeling 
air,"air, appearance",nm, tu as l'air fatigué , you seem tired 
auteur,author,"nm,nf", chez cet auteur schizophrène cohabitent deux personnages , two personalities live together in this schizophrenic author
opération,operation,nf, les opérations militaires continuent du côté serbe , Serbian military operations continue 
heureux,"happy, lucky, fortunate",nadj(pl), je n'étais pas heureuse non plus , I wasn't happy either 
crise,crisis,nf," plus la crise est grande, plus elle est grave "," the bigger the crisis, the worse it is "
numéro,number,nm, donnez votre numéro à mon assistant , give your number to my assistant 
résoudre,"to solve, resolve",v, ça va résoudre tous nos problèmes , that will resolve all of our problems 
publier,to publish,v, j'ai publié un livre , I published a book 
instant,"instant, moment","adj,nm", je suis à vous dans un instant , I'll be with you in a moment 
toutefois,however,"adv,conj"," toutefois, l'industrie connaît des problèmes réels "," however, the industry is experiencing real problems"
pousser,to push,v, je ne t'ai jamais poussée à te marier , I never pushed you to marry me 
quelqu'un,"somebody, someone",pro, il vaudrait mieux le demander au quelqu'un , it would be better to ask someone about it 
discours,"speech, talk, discourse",nm(pl), j'ai écouté ce discours avec intérêt , I listened intently to this talk 
banque,bank,nf, j'ai obtenu auprès d'une banque un prêt personnel habitat de 90 000 euros ," I got a housing loan from a bank for 90,000 euros"
compagnie,company,nf, des compagnies pétrolières russes ont signé plusieurs accords , Russian oil companies signed several agreements
reposer,to rest,v," on peut se reposer, maintenant "," we can rest, now "
opinion,opinion,nf, notre opinion et notre politique doivent être crédibles , our opinion and our politics must be believable
classe,class,nf, nous étions dans la même classe d'anglais , we were in the same English class 
particulièrement,particularly,adv, ce sont là des problèmes particulièrement délicats , those are particularly delicate questions 
commun,common,nadj, il a quelque chose de commun avec d'autres problèmes que nous vivons , it has something in common with the other problems we're experiencing
satisfaire,to satisfy,v, ils ne satisfont pas aux conditions requises , they won't satisfy the required conditions 
intention,intention,nf, je l'ai fait avec les meilleures intentions , I did it with the best intentions 
autorité,authority,nf, elle prit mon bras avec autorité , she took my arm with authority 
anglais,English,nadj(pl), où as-tu appris l'anglais? , where did you learn English? 
échange,exchange,nm," on discute, on échange des idées "," we discuss, we exchange ideas "
feu,fire,"adj(f),nm", réchauffez-vous près du feu , warm yourself by the fire 
neuf,nine; new,"det,adj,nmi", on devait avoir des vêtements neufs! , we should have new clothes! 
observer,"to observe, watch",v," observez votre propre famille, vous serez édifié ", watch your family and you'll be uplifted 
capacité,"capacity, ability",nf, il ne faut pas sous-estimer la capacité de lecture des jeunes , one must not underestimate the reading abilities of young people
désigner,to designate,v, ce mot désigne plusieurs réalités bien distinctes , this word designates several very distinct realities
dépendre,to depend,v, les femmes ne dépendent plus autant des hommes , women don't depend on men as much any more
message,message,nm, il me semble que le message est clair , it seems to me that the message is clear 
construire,"to build, construct",v, nous avons dû construire une digue , we had to construct a dike 
scène,scene,nf, la scène ressemble à un énorme feu de forêt , the scene resembled an enormous forest fire 
durant,"during, for",prep, j'ai travaillé sur ce problème durant toute ma carrière , I have worked on this problem for my entire career
secret,secret,nadj, j'en connais tous les secrets , I know all the relevant secrets 
plaisir,pleasure,nm, quel plaisir d'avoir des parents cultivés , what a pleasure to have cultured relatives 
dossier,"file, record; case",nm, le gouvernement s'occupe activement du dossier des hélicoptères , the government is actively pursuing the helicopter affair
proposition,"proposition, proposal",nf, sa proposition soulève certaines questions , his proposal raises certain issues 
combien,"how much, how many","adv,conj", tu pèses combien maintenant? , how much do you weigh now? 
nul,"nil, null","adj,det,pro", les préservatifs c'est nul. ils marchent pas , condoms are crap. they don't work 
absence,absence,nf, l'absence de punition les pousse au crime , the absence of punishment pushed them to crime 
cher,expensive,"adj,adv", j'ai payé cher pour le savoir , I paid dearly to find out about that 
plaire,to please,v," réponds, s'il te plaît "," answer me, please "
derrière,last; behind,"adv,nm,prep", Mathieu s'abrita derrière le pilier , Mathieu took shelter behind the pillar 
connaissance,knowledge,nf, nous serons heureux d'en prendre connaissance , we will be happy to learn about it 
immédiatement,immediately,adv," les enfants, partez immédiatement "," children, leave immediately "
entrée,entrance,nf," à l'entrée de son couloir, je me suis arrêté "," at the entrance to the hallway, I stopped "
signer,to sign,v, tu voulais que je signe les papiers , you wanted me to sign papers 
révéler,to reveal,v, je veux que tu révèles tout ça au monde , I want you to reveal everything to the world 
couper,to cut,v, je me suis coupé. comment? sur mon couteau , I cut myself. how? on my knife 
salle,room,nf," dans la salle, rien de plus qu'un murmure ", in the room there was nothing more than a murmur
pièce,"piece, part, component; room",nf, ces gens vont vous mettre en pièces , these people are going to tear you to pieces 
équipe,team,nf, depuis mercredi nos équipes travaillent 24 h sur 24 h , since Wednesday our teams have been working around the clock
situer,"to situate, locate",v, je me situe quelque part entre les deux , I find myself somewhere between the two 
souligner,"to underline, stress",v, j'ai deux points à souligner , I have two points to stress 
source,"source, spring",nf, un bon journaliste ne révèle jamais ses sources , a good journalist never reveals his sources 
respect,respect,nm, il salua avec beaucoup de respect , he saluted with deep respect 
crime,crime,nm, un crime motivé par la haine , a hate crime 
précédent,precedent; previous,nadj, le manège précédent a été construit en 1950 , the previous merry-go-round was built in 1950 
installer,to install,v, t'as bien installé son micro? , did you set up his microphone correctly? 
facile,easy,adj(f), il n'y avait rien de plus facile , nothing was easier 
augmenter,"to increase, raise",v, les dépenses à la consommation augmentent , consumer spending is rising 
réunir,"to gather, reunite, raise",v, je sais comment réunir l'argent , I know how to raise money 
impression,impression,nf," oui, c'est l'impression que j'ai eue "," yes, that's the impression I had "
octobre,October,nm, il sortira en français au mois d'octobre , it will hit the shelves in French in October. 
médecin,"physician, doctor",nm, j'ai besoin d'un médecin , I need a doctor 
fédéral,federal,nadj, le gouvernement fédéral a contribué au problème , the federal government contributed to the problem
police,police,nf, la police poursuit une bande de criminels très dangereux , the police are pursuing a very dangerous gang of criminals
coût,cost,nm, les coûts de production seront réduits , production costs will be reduced 
formation,training,nf, je suis toujours dans ma période de formation , I'm still in my training stage 
contrat,contract,nm, j'ai rompu le contrat. je l'ai trompé , I broke the contract. I didn't honor it 
normal,normal,adj," j'ai une vie plutôt normale, avec un mari, des enfants "," I have a rather normal life, with a husband, children"
attitude,attitude,nf, il est difficile de changer les attitudes , it's difficult to change attitudes 
faute,"mistake, error, fault",nf, vous comprendrez combien vos fautes sont graves , you will understand how serious your errors are
série,series,nf, on a interrompu la série pendant 15 ans , we interrupted the series for 15 years 
lever,"to lift, raise",v," je t'en prie, lève-toi "," please, get up "
proche,"nearby, close","adv,nadj(f),prep", nous n'avions pas de famille proche , we didn't have any close relatives 
direct,direct,nadj, on parle toujours des émissions en direct , they always talk about live broadcasts 
imaginer,to imagine,v, j'imagine qu'elle a des documents , I imagine she has the documents 
figurer,"to represent, appear",v," parmi les signataires, figurent 42 maires ", among the signatories appeared 42 mayors 
pratique,"practice, practical",nadj(f), les résultats pratiques obtenus sont-ils très probants? , are the practical results very convincing?
finalement,"finally, eventually",adv," finalement, la porte s'ouvrit "," finally, the door opened "
allemand,German,nadj," un type fume une cigarette allemande, l'air pensif "," a guy smokes a German cigarette, with a pensive air"
pression,pressure,nf, cette pression fait partie de la négociation , this pressure is part of the negotiation 
accès,access,nm(pl), voici les codes d'accès , there are the access codes 
champ,"field, realm",nm," dans le champ administratif, il peut y avoir des incertitudes "," in the administrative realm, uncertainties can exist"
film,film,nm, j'ai vu tous les films d'action , I saw all the action films 
charge,"to charge, load",nf, l'arbre plie sous la charge , the tree collapsed under the weight 
envisager,"to view, contemplate",v, je ne pouvais pas envisager que son état fût grave , I couldn't imagine that her condition was serious
commune,"locality; common, joint",nf, il s'agit là d'une responsabilité commune , now that's a joint responsibility 
ressource,resource,nf, le nœud intermédiaire dispose des ressources nécessaires , the intermediate node has the necessary resources
monter,"to go up, rise, assemble",v, j'ai monté et descendu cinq étages , I went up and down five floors 
promettre,to promise,v," s'il promet quelque chose, il tient parole "," if he promises something, he keeps his word "
motion,motion,nf, la motion définitive était validée par Nicolas Sarkozy , the final motion was ratified by Nicolas Sarkozy
concentrer,to concentrate,v, je me concentre plus sur ma condition physique , I'm concentrating on my physical condition 
exactement,exactly,adv, la pièce ne paraissait pas exactement sombre , the room didn't appear exactly dark 
composer,"to compose, dial",v, il avait juste besoin de composer mon numéro , all he needed to do was dial my number 
chemin,"path, way",nm, le chemin pour rentrer me semblait interminable , the road home seemed never-ending 
zone,"zone, area",nf," vous pouvez venir, j'ai sécurisé la zone ", you can come here  
province,province,nf, l'armée française abandonne une de nos provinces , the French army is abandoning one of our provinces
élection,election,nf, l'élection présidentielle en Russie est prévue l'été prochain , the Russian presidential elections are slated for next summer
usage,"use, usage",nm, il avait perdu l'usage de la mémoire immédiate , he had lost the use of shortterm memory 
conflit,conflict,nm, ils se préparent à un éventuel conflit , they're preparing for a possible conflict 
hors,"except, outside","adv,prep", ils s'installèrent hors de la ville , they moved in outside the city 
enquête,"inquiry, enquiry, investigation",nf, cela coûte cher de faire enquête sur les activités criminelles , criminal investigations are costly
terrain,"ground, terrain",nm, vous combattez sur un terrain qui s'enfonce , you're fighting on shaky ground 
mars,March; Mars,nm(pl), la date est fixée au 1er mars 2004 ," the date is set for March 1, 2004 "
tellement,so much,adv, vous êtes tellement différente des autres femelles , you are so different from other females 
espace,space,"nm,nf", je m'invente un espace magique pour moi tout seul , I'm inventing a magic space just for myself
demain,tomorrow,"adv,nm", je te verrai demain matin , I'll see you tomorrow morning 
hier,yesterday,adv," tu nous as manqué, hier soir ", we missed you last night 
confier,to entrust,v, je te confie ce garçon. rends-moi un homme , I entrust you with this boy. return a man to me 
remarquer,"to remark; to notice, point out",v, ils ont fait remarquer que ces jeunes avaient été pris , they pointed out that these youths were taken
égard,"consideration, respect, regard",nm, rien n'est prévu à cet égard , nothing has been planned in this regard 
supérieur,superior,nadj, je suis votre supérieur ecclésiastique , I'm your religious superior 
huit,eight,"det,nmi", il a presque huit ans , he's almost eight years old 
condamner,to condemn,v, le mousquetaire est seul. et condamné à la solitude , the musketeer is alone. and condemned to loneliness
capital,"major, chief, principal; capital, assets",nadj, ils ont pris une décision capitale en renonçant à leur statut , they took a major decision in renouncing their status
lien,"link, bond",nm, sachez que nos liens ne sont pas rompus , understand that our bonds are not broken 
voiture,car,nf, mettez votre voiture dans le parking , put your car in the parking lot 
discussion,discussion,nf, j'ai eu une discussion avec elle , I had a discussion with her 
limiter,to limit,v, les freins limitent les transactions informatisées , the blocking mechanism limits computerized transactions
justifier,to justify,v, ça ne justifie pas la mesure extrême , that doesn't justify the extreme measures taken 
agent,agent,"nm,nf", notre partenaire est un agent immobilier , our partner is a real estate agent 
sentiment,feeling,nm, elle connaît tes sentiments pour elle? , does she know your feelings for her? 
tâche,task,nf, nous déciderons à qui reviendra cette tâche agréable , we will decide who will get this pleasant task
directement,directly,adv, son action s'exerce directement ou par intermédiaire , his actions are taken personally or by an intermediary
euh,"er, um, uh",intj, il faut euh avoir euh une intention particulière , you um have to have um a particular intention
raconter,to tell,v, je ne raconte plus de blagues , I don't tell jokes any more 
décembre,December,nm, c'était un samedi après-midi de décembre , it was a Saturday afternoon in December 
développer,to develop,v," l'embryon vit, grandit et se développe "," the embryo lives, grows, and develops "
honorable,honorable,adj(f), c'est un but honorable , it's an honorable goal 
contact,contact,nm, je ne veux plus perdre contact avec toi , I don't want to lose contact with you any more 
conclure,to conclude,v, il vous reste une minute pour conclure , you have one minute to conclude 
fruit,fruit,nm, allez manger des fruits , go eat fruit 
ouvert,open,adj, je suis très ouvert à cette suggestion , I'm very open to this suggestion 
investissement,investment,nm, ce sont là des investissements importants , those are important investments 
insister,to insist,v," elle insistait pour m'accompagner, je refusai "," she insisted on accompanying me, I refused "
avantage,advantage,nm, je désirais cet avantage pour mon fils , I wanted this advantage for my son 
garde,guard,"nm,nf", on a fait venir le garde du corps , they had the bodyguard come 
historique,historical,nadj(f), c'est également devenu un lieu historique , it has also become a historical site 
probablement,probably,adv, il est probablement mort à ce moment-là , that's probably when he died 
voyage,"trip, journey",nm, le ferry fera plusieurs voyages , the ferry will make many trips 
sept,seven,"det,nmi"," il était sept heures, exactement ", it was exactly seven o'clock 
marche,"walk, step, march",nf, mais enfin il arrêta brusquement leur marche , finally he abruptly stopped their march 
vérité,truth,nf," provoqué à la vérité, je répondrai au défi "," pushed to the truth, I will answer the challenge "
commercial,commercial,nadj, la Chine est un partenaire commercial important , China is an important commercial partner 
critique,"criticism, critic, critical",nadj(f), cette critique est légitime , this criticism is legitimate 
ministère,ministry,nm, des représentants de divers ministères y ont pris part , representatives from various ministries took part
baisser,"to lower, turn down, bend down",v, la jeune femme baisse encore un peu plus la tête , the young woman bows her head a little lower
somme,"amount, sum; nap","nm,nf", pourquoi n'ont-ils pas mentionné ces sommes? , why didn't they mention these sums? 
culture,culture,nf, la culture permet d'ouvrir les esprits , culture enables the opening of minds 
cacher,to hide,v, je ne vous cache rien du tout , I am not hiding anything at all from you 
prêter,to lend,v, le gouvernement devrait prêter l'oreille , the government should pay attention 
définir,to define,v, tout dépend de la manière dont on définit le concept , everything depends on how we define the concept
client,client,nm, le client contrôle toujours la destination de la marchandise , the customer always controls the destination of the goods
exposer,"to display, exhibit, expose",v," en m'exposant, vous me condamnez! "," by exposing me, you're condemning me! "
progrès,progress,nm(pl), mes fils font des progrès , my sons are making progress 
secrétaire,secretary,"nm,nf"," mais voilà, ma secrétaire accouche cet aprèsmidi "," so there you go, my secretary is delivering a baby this afternoon"
mer,sea,nf, il les a laissés en pleine mer , he left them in the middle of the sea 
rapporter,"to bring back, report",v, je t'ai rapporté ton livre , I brought back your book 
appuyer,"to lean, support",v, nous avons toujours appuyé l'unité nationale , we have always supported national unity 
liste,list,nf, j'aimerais avoir une liste de ces témoins , I'd like to have a list of these witnesses 
rentrer,"to go in, come in, come back, return",v, je ne t'avais pas entendu rentrer , I hadn't heard you come in 
mémoire,memory,"nm,nf", cette soirée restera gravée dans nos mémoires , this evening will remain engraven in our memory
caractère,"nature, character",nm, mais c'est un caractère difficile , but he's a difficult character 
détruire,to destroy,v, l'environnement a été entièrement détruit , the environment was completely destroyed 
civil,civil; civilian,nadj, la protection des citoyens et des civils est une cause excellente , the protection of citizens and civilians is an excellent cause
nécessité,"necessity, need",nf, nous sommes conscients de la nécessité de réduire ces cotisations , we're aware of the need to reduce these subscriptions
juin,June,nm, deux pays ont signé en juin un accord , two countries signed an agreement in June 
danger,danger,nm, le cyclisme est en danger de mort , cycling is in danger of dying out 
complexe,complex,nadj(f), les problèmes et les solutions sont complexes , the problems and solutions are complex 
commerce,"trade, commerce",nm, nous ne sommes pas contre le commerce équitable , we aren't against equitable commerce 
transport,transportation,nm, il nous faut un transport plus rapide , we need a faster means of transportation 
attente,wait,nf," six mois d'attente, c'est beaucoup trop long "," six years of waiting, that's much too long "
institution,institution,nf, nous devons réformer ces institutions , we must reform these institutions 
défense,defense,nf, je me porte à la défense de la personne responsable , I'm here to help defend the person responsible
janvier,January,nm, j'irai en Californie en janvier prochain , I'll be going to California next January 
échapper,to escape,v, on ne peut pas y échapper , you can't escape it 
négociation,negotiation,nf, il se présente à la table de négociation , he shows up at the negotiation table 
franc,frank; franc,"adj,adv,adj,nm", le vétérinaire avait un regard franc , the veterinarian had a candid look 
mai,May,nm, elle avait disparu le 30 mai dernier , she had disappeared last May 30 
septembre,September,nm, elle est née un 22 septembre , she was born on September 22 
environnement,environment,nm, nous rejetons la nécessité de protéger notre environnement , we reject the need to protect our environment
séparer,to separate,v, ce sont deux mondes séparés qui ont des interfaces , they are two separate worlds that have interfaces
réaction,reaction,nf, j'estime que leur réaction est naturelle , I judge their reaction to be normal 
disposition,"arrangement, disposition",nf, elle tenait de notre père une disposition mélancolique , she got a melancholy disposition from our father's side
positif,positive,nadj, les réactions des téléspectateurs sont très positives , the reactions of the viewers were very positive
scientifique,scientific,nadj(f), le nom scientifique de ma maladie ne l'intéressait pas , he wasn't interested in the scientific name of my disease
papier,paper,nm, ils veulent juste voir nos papiers , they just wanted to see our papers 
expression,expression,nf, cette expression a un sens extrêmement simple , this expression has an extremely simple meaning
protection,protection,nf, on voudrait créer des aires de protection marines , they wanted to create marine conservation areas
indépendant,independent,nadj," il est indépendant financièrement, cultivé et cinglé "," he's financially independent, cultivated, and nuts"
carte,card,nf, j'ai reçu votre carte , I received your card 
association,association,nf, l'association a vocation à être une entreprise , the association's goal is to become a company 
régler,"to pay, adjust, settle",v, vous ne réglerez rien avec l'argent , you won't settle anything with the money 
modèle,model,nm, votre styliste va nous proposer trois modèles , your stylist is going to show us three models 
commander,"to order, command",v, il a commandé plusieurs exemplaires du guide de référence , he ordered several copies of the reference guide
étudier,to study,v, j'ai étudié la situation avant de venir ici , I studied the situation before coming here 
déterminer,"to determine, find out, specify",v, il faut plutôt déterminer si le contrat était juste , rather we should determine out whether the contract was accurate
budget,budget,nm, il paraît assez douteux que le budget soit rejeté , it seems rather unlikely that the budget would be rejected
fonder,"to found, set",v, il a fondé la société , he founded the company 
structure,structure,nf, une structure bien déterminée est choisie , a well specified structure is chosen 
complet,"full, complete; suit","adj,nm"," je veux un rapport complet sur mon bureau, demain ", I want a complete report on my desk tomorrow
exercer,"to exercise, exert, practise, carry out",v, j'ai également exercé diverses fonctions dans ce secteur , I also carried out various roles in this sector
amour,love,nm, rien ne pourrait détruire mon amour pour toi , nothing could destroy my love for you 
manifester,"to show, demonstrate, display",v, il avait manifesté son hostilité contre elle , he displayed his hostility toward her 
menacer,to threaten,v, ils ont menacé de l'incarcérer et de le torturer , they threatened to imprison and torture him 
conseiller,"adviser, to advise","nm,v", je lui conseille de consulter le dictionnaire , I advised her to consult the dictionary 
réunion,meeting,nf, j'ai moi-même participé à diverses réunions de la troïka , I even attended several of the trilateral meetings
opposition,opposition,nf, il est membre de l'opposition officielle , he is a member of the official opposition 
maladie,"illness, disease",nf, ce n'est pas une maladie psychiatrique , it's not a psychiatric illness 
outre,besides,"adv,prep", il a en outre publié deux ouvrages , he also published two works 
tandis,while,no-tag, il pria tandis que l'océan gelait , he prayed while the ocean froze over 
construction,"construction, building",nf, son rôle dans la construction du produit final , his role in building the final product 
bande,"band, strip",nf, Le Chili est une longue et étroite bande de terre , Chile is a long and narrow strip of land 
signal,signal,nm, on va perdre le signal , we're going to lose the signal 
voisin,neighbor,nadj, je l'expédie chez le petit voisin , I sent him to the little neighbor's house 
réforme,reform,nf," les réformes continuent, et ces pays progressent "," the reforms continue, and these countries are progressing"
rejeter,to reject,v, je rejette l'argument invoqué fréquemment aujourd'hui , I reject the argument invoked often today
novembre,November,nm, rappelez-vous où vous étiez le 1er novembre? , do you remember where you were on November 1st?
fonds,funds,nm(pl), cela vient des fonds publics , this comes from public funds 
coûter,to cost,v, cette décision va coûter des milliards de dollars , this decision will cost billions of dollars 
reprise,"resumption, renewal; time",nf, elle l'a prouvé à maintes reprises , she proved it many times 
presse,press,nf, la presse aime bien les grands titres , the press really likes dramatic headlines 
rouge,red,nadj(f)," le sang a séché, le rouge est devenu brun "," the blood dried, red turning to brown "
majorité,majority,nf, la grande majorité n'en faisait rien , the great majority didn't do anything about it 
autoriser,to authorize,v, aucun fait n'autorise cette accusation de jalousie , no fact licenses this accusation of jealousy 
effectuer,"to carry out, undergo",v, elle avait effectué trois jours de prison , she had served three days of prison time 
bord,"edge, side",nm, voyant un banc au bord du trottoir je m'y assis , seeing a bench alongside the sidewalk I sat down
central,central,nadj, elle habitait dans le quartier central de la ville , she lived in the city's central neighborhood 
procédure,procedure,nf," pour cela, il existe une procédure spéciale "," for that, a special procedure exists "
faveur,favor,nf, je me prononcerai en faveur des amendements , I will declare myself in favor of the amendments
éducation,education,nf, l'éducation est devenue obligatoire , education has become mandatory 
officiel,official,nadj, ils doivent fournir une réponse honnête et officielle , they have to provide an honest and official response
document,document,nm, je suis un document vivant! , I'm a living document! 
aspect,aspect,nm, il a oublié quelques aspects de la gastronomie , he forgot some aspects of gastronomie 
retourner,"to return, go back",v, je ne retournerai pas sur la Terre , I will not return to Earth 
professionnel,professional,nadj, il est entré dans la vie professionnelle voilà huit ans , he entered professional life eight years ago
auparavant,beforehand,adv, je n'ai jamais vu cela auparavant , I've never seen that before 
animal,animal,nadj, le singe aussi est un animal familier , the monkey is also a familiar animal 
utile,useful,adj(f)," l'hypocrisie, pour être utile, doit se cacher "," hypocrisy, to be useful, must be hidden "
inscrire,"to register, write down",v, j'inscrivis mon nom sur la fiche , I wrote down my name on the card 
concurrence,competition,nf, Pékin est en concurrence avec Paris , Peking is in competition with Paris 
déclaration,declaration,nf, nous devons répondre à cette déclaration , we must respond to this declaration 
rejoindre,"to rejoin, reunite",v," allez, rejoignez votre famille "," go, rejoin your family "
mille,a thousand,"det,nm,nmi", leur culture a duré quelque vingt mille ans , their culture lasted some twenty thousand years 
absolument,absolutely,adv, cela ne veut absolument rien dire , that means absolutely nothing at all 
prison,prison,nf, les prisons sont la solution à la délinquance juvénile , prisons are the solution to juvenile deliquence
armée,army,nf," l'armée fait retraite, sans avoir combattu "," the army retreats, without having fought "
revenu,income,nm, les hauts revenus ne verront pas la différence , high-income people will not see the difference 
complètement,completely,"adv,nm", le ciel est complètement couvert , the sky is completely overcast 
confirmer,to confirm,v, cette information n'a pas été confirmée , this information was not confirmed 
salaire,"salary, wage",nm, beaucoup de travailleurs gagnent le salaire minimum , many workers earn minimum wage 
